Timestamp,Service Type,Channel,Revenue,Ad Spend,Conversions,Customer Type,Category,transaction_datetime,amount,order_id,customer_id,_items_list,date,hour,dayofweek,first_purchase,cohort_month,order_month
2023-06-29 19:00:00,Service,Online,27.04,0.0,0,New,Premium,,27.04,1,New,[],,,,,,
2023-12-09 18:00:00,Service,Facebook,103.01,4.87,1,Returning,Discounted,,103.01,2,Returning,[],,,,,,
2023-01-10 15:00:00,Product,Google Ads,85.02,29.44,3,Returning,Discounted,,85.02,3,Returning,[],,,,,,
2023-10-31 10:00:00,Service,Instagram,69.63,18.87,3,Returning,Basic,,69.63,4,Returning,[],,,,,,
2023-11-11 14:00:00,Product,In-Store,25.76,0.0,0,Returning,Premium,,25.76,5,Returning,[],,,,,,
2023-11-02 20:00:00,Service,Online,119.27,0.0,0,New,Basic,,119.27,6,New,[],,,,,,
2023-09-25 15:00:00,Product,Instagram,55.73,25.1,1,Returning,Basic,,55.73,7,Returning,[],,,,,,
2023-06-13 16:00:00,Product,Instagram,172.71,24.48,1,Returning,Basic,,172.71,8,Returning,[],,,,,,
2023-03-07 19:00:00,Service,Instagram,154.36,6.91,1,New,Basic,,154.36,9,New,[],,,,,,
2023-12-22 16:00:00,Service,Instagram,189.37,15.45,3,New,Discounted,,189.37,10,New,[],,,,,,
2023-01-08 11:00:00,Service,Facebook,42.96,29.9,3,Returning,Basic,,42.96,11,Returning,[],,,,,,
2023-05-22 18:00:00,Product,Google Ads,17.44,3.31,1,Returning,Discounted,,17.44,12,Returning,[],,,,,,
2023-11-09 09:00:00,Service,In-Store,142.69,0.0,0,New,Basic,,142.69,13,New,[],,,,,,
2023-11-25 16:00:00,Product,Facebook,168.09,13.64,2,Returning,Basic,,168.09,14,Returning,[],,,,,,
2023-10-01 12:00:00,Service,Facebook,10.61,2.56,3,Returning,Basic,,10.61,15,Returning,[],,,,,,
2023-02-28 15:00:00,Service,Instagram,101.43,27.49,3,New,Premium,,101.43,16,New,[],,,,,,
2023-01-01 19:00:00,Product,Facebook,160.73,22.84,0,Returning,Premium,,160.73,17,Returning,[],,,,,,
2023-08-06 11:00:00,Service,Online,69.74,0.0,0,Returning,Premium,,69.74,18,Returning,[],,,,,,
2023-11-08 14:00:00,Service,Instagram,18.64,11.24,0,New,Premium,,18.64,19,New,[],,,,,,
2023-12-20 20:00:00,Product,Instagram,174.26,24.28,1,Returning,Premium,,174.26,20,Returning,[],,,,,,
2023-01-13 09:00:00,Product,Online,91.75,0.0,0,Returning,Discounted,,91.75,21,Returning,[],,,,,,
2023-04-23 12:00:00,Product,Online,104.36,0.0,0,New,Premium,,104.36,22,New,[],,,,,,
2023-10-13 12:00:00,Product,Google Ads,87.64,17.15,0,Returning,Basic,,87.64,23,Returning,[],,,,,,
2023-03-09 10:00:00,Product,Instagram,158.19,19.76,2,New,Discounted,,158.19,24,New,[],,,,,,
2023-08-12 09:00:00,Service,Facebook,43.25,21.8,0,New,Basic,,43.25,25,New,[],,,,,,
2023-06-03 14:00:00,Product,Facebook,19.68,11.21,3,Returning,Basic,,19.68,26,Returning,[],,,,,,
2023-03-22 13:00:00,Product,Online,74.62,0.0,0,Returning,Basic,,74.62,27,Returning,[],,,,,,
2023-04-16 17:00:00,Service,Instagram,144.46,16.87,1,New,Discounted,,144.46,28,New,[],,,,,,
2023-02-03 11:00:00,Service,Online,173.97,0.0,0,New,Discounted,,173.97,29,New,[],,,,,,
2023-09-05 09:00:00,Service,Facebook,189.21,3.33,0,Returning,Basic,,189.21,30,Returning,[],,,,,,
